Year,Location,Professionals & Managers,Other Occupations,Total Workers,Professionals & Managers,Other Occupations,Total Workers
2016,United States,0.41,0.59,1,60611000,88493800,149104800
2016,Alabama,0.38,0.62,1,781500,1275300,2056700
2016,Alaska,0.38,0.62,1,132100,211700,343800
2016,Arizona,0.39,0.61,1,1215500,1865400,3080900
2016,Arkansas,0.36,0.64,1,449600,808200,1257700
2016,California,0.39,0.61,1,7117200,10922700,18039900
2016,Colorado,0.45,0.55,1,1272200,1527600,2799800
2016,Connecticut,0.43,0.57,1,793200,1039600,1832900
2016,Delaware,0.40,0.60,1,178100,267600,445700
2016,District of Columbia,0.58,0.42,1,215000,153900,368900
2016,Florida,0.38,0.62,1,3462200,5740900,9203100
2016,Georgia,0.39,0.61,1,1871500,2867900,4739400
2016,Hawaii,0.37,0.63,1,247900,416500,664400
2016,Idaho,0.38,0.62,1,287200,463800,751000
2016,Illinois,0.40,0.60,1,2430600,3618100,6048700
2016,Indiana,0.42,0.58,1,1271100,1774500,3045600
2016,Iowa,0.39,0.61,1,620700,956400,1577100
2016,Kansas,0.39,0.61,1,539400,838400,1377800
2016,Kentucky,0.38,0.62,1,745800,1219800,1965600
2016,Louisiana,0.36,0.64,1,711800,1251600,1963400
2016,Maine,0.42,0.58,1,272300,372400,644600
2016,Maryland,0.46,0.54,1,1334100,1579400,2913500
2016,Massachusetts,0.47,0.53,1,1603100,1810600,3413700
2016,Michigan,0.41,0.59,1,1874500,2750100,4624500
2016,Minnesota,0.44,0.56,1,1189100,1485400,2674500
2016,Mississippi,0.34,0.66,1,422500,802900,1225400
2016,Missouri,0.40,0.60,1,1068300,1623300,2691600
2016,Montana,0.41,0.59,1,200600,289800,490400
2016,Nebraska,0.42,0.58,1,391900,541300,933200
2016,Nevada,0.32,0.68,1,417600,874200,1291900
2016,New Hampshire,0.46,0.54,1,320700,369700,690400
2016,New Jersey,0.46,0.54,1,1911400,2265800,4177200
2016,New Mexico,0.39,0.61,1,331500,511900,843400
2016,New York,0.41,0.59,1,3661600,5269300,8930900
2016,North Carolina,0.40,0.60,1,1821000,2768700,4589600
2016,North Dakota,0.38,0.62,1,151900,242700,394500
2016,Ohio,0.41,0.59,1,2222100,3189100,5411200
2016,Oklahoma,0.41,0.59,1,712000,1011900,1723900
2016,Oregon,0.42,0.58,1,831600,1146800,1978500
2016,Pennsylvania,0.42,0.58,1,2511900,3496400,6008300
2016,Rhode Island,0.43,0.57,1,224200,296100,520300
2016,South Carolina,0.40,0.60,1,857600,1288800,2146400
2016,South Dakota,0.39,0.61,1,158300,247600,405900
2016,Tennessee,0.39,0.61,1,1182300,1880100,3062400
2016,Texas,0.39,0.61,1,4952400,7673500,12625900
2016,Utah,0.41,0.59,1,594100,860800,1454900
2016,Vermont,0.46,0.54,1,148200,171300,319500
2016,Virginia,0.49,0.51,1,1969700,2013000,3982800
2016,Washington,0.43,0.57,1,1491500,1977700,3469200
2016,West Virginia,0.39,0.61,1,284400,451700,736100
2016,Wisconsin,0.36,0.64,1,1048600,1842500,2891100
2016,Wyoming,0.39,0.61,1,107400,169000,276400
