Year,Location,White,Black,Hispanic,Other,Total,White,Black,Hispanic,Other,Total
2016,United States,39913800,10792700,19463800,7979900,78150300,0.51,0.14,0.25,0.10,1
2016,Alabama,682500,336900,93100,42100,1154700,0.59,0.29,0.08,0.04,1
2016,Alaska,96800,N\/A,17800,84800,201500,0.48,N\/A,0.09,0.42,1
2016,Arizona,670400,81000,835000,129000,1715400,0.39,0.05,0.49,0.08,1
2016,Arkansas,466800,139300,79100,56300,741500,0.63,0.19,0.11,0.08,1
2016,California,2665900,494500,4940900,1576300,9677600,0.28,0.05,0.51,0.16,1
2016,Colorado,825900,47700,313500,130800,1317900,0.63,0.04,0.24,0.10,1
2016,Connecticut,443100,76300,224500,60100,803900,0.55,0.09,0.28,0.07,1
2016,Delaware,103800,55400,36300,19200,214800,0.48,0.26,0.17,0.09,1
2016,District of Columbia,30900,70900,19100,7000,127900,0.24,0.55,0.15,0.05,1
2016,Florida,1845600,884200,1484200,235900,4449800,0.41,0.20,0.33,0.05,1
2016,Georgia,1138100,927200,400300,200100,2665700,0.43,0.35,0.15,0.08,1
2016,Hawaii,37800,6500,51100,223900,319400,0.12,0.02,0.16,0.70,1
2016,Idaho,356400,N\/A,90000,20500,473300,0.75,N\/A,0.19,0.04,1
2016,Illinois,1560900,464700,758400,264200,3048200,0.51,0.15,0.25,0.09,1
2016,Indiana,1310200,174300,121800,87700,1694100,0.77,0.10,0.07,0.05,1
2016,Iowa,587800,48000,70200,50300,756300,0.78,0.06,0.09,0.07,1
2016,Kansas,477300,38100,171000,76300,762600,0.63,0.05,0.22,0.10,1
2016,Kentucky,862700,93000,83800,N\/A,1103900,0.78,0.08,0.08,N\/A,1
2016,Louisiana,595400,437600,79900,62800,1175700,0.51,0.37,0.07,0.05,1
2016,Maine,228300,N\/A,N\/A,22800,271600,0.84,N\/A,N\/A,0.08,1
2016,Maryland,651900,436700,217900,121900,1428400,0.46,0.31,0.15,0.09,1
2016,Massachusetts,915200,118800,292400,153200,1479600,0.62,0.08,0.20,0.10,1
2016,Michigan,1537700,372400,179800,190600,2280500,0.67,0.16,0.08,0.08,1
2016,Minnesota,966900,127600,N\/A,152200,1382500,0.70,0.09,0.10,0.11,1
2016,Mississippi,375900,332500,30800,28700,767900,0.49,0.43,0.04,0.04,1
2016,Missouri,1046900,203900,97800,129900,1478600,0.71,0.14,0.07,0.09,1
2016,Montana,190600,N\/A,12200,36900,241100,0.79,N\/A,0.05,0.15,1
2016,Nebraska,337100,22600,109800,30800,500300,0.67,0.05,0.22,0.06,1
2016,Nevada,274600,54900,282100,117000,728700,0.38,0.08,0.39,0.16,1
2016,New Hampshire,244600,7800,16200,14600,283200,0.86,0.03,0.06,0.05,1
2016,New Jersey,1037500,325700,433000,280400,2076600,0.50,0.16,0.21,0.14,1
2016,New Mexico,122600,N\/A,298800,N\/A,522200,0.23,N\/A,0.57,N\/A,1
2016,New York,2143500,643400,1053200,557200,4397300,0.49,0.15,0.24,0.13,1
2016,North Carolina,1225000,577400,428500,218800,2449700,0.50,0.24,0.17,0.09,1
2016,North Dakota,138500,7100,11400,30800,187800,0.74,0.04,0.06,0.16,1
2016,Ohio,1970300,400900,197100,223500,2791800,0.71,0.14,0.07,0.08,1
2016,Oklahoma,485400,91500,183400,262500,1022900,0.47,0.09,0.18,0.26,1
2016,Oregon,566400,29800,219000,117700,932900,0.61,0.03,0.23,0.13,1
2016,Pennsylvania,1881700,379700,339500,235400,2836200,0.66,0.13,0.12,0.08,1
2016,Rhode Island,124500,15400,55900,21300,217100,0.57,0.07,0.26,0.10,1
2016,South Carolina,677100,346500,92900,66700,1183200,0.57,0.29,0.08,0.06,1
2016,South Dakota,163500,5600,20700,39400,229200,0.71,0.02,0.09,0.17,1
2016,Tennessee,982000,297000,157600,113300,1550000,0.63,0.19,0.10,0.07,1
2016,Texas,2595700,977600,3648700,508700,7730800,0.34,0.13,0.47,0.07,1
2016,Utah,721700,17200,171800,52600,963300,0.75,0.02,0.18,0.05,1
2016,Vermont,116900,3500,N\/A,8200,131300,0.89,0.03,N\/A,0.06,1
2016,Virginia,1021700,412400,301500,277800,2013400,0.51,0.20,0.15,0.14,1
2016,Washington,955300,66300,378700,320600,1720900,0.56,0.04,0.22,0.19,1
2016,West Virginia,366000,9300,N\/A,N\/A,398200,0.92,0.02,N\/A,N\/A,1
2016,Wisconsin,971700,104600,184000,135800,1396100,0.70,0.07,0.13,0.10,1
2016,Wyoming,118700,N\/A,22400,N\/A,152600,0.78,N\/A,0.15,N\/A,1
