Year,Location,Under 400%,400%+,Total,Under 400%,400%+,Total
2016,United States,0.59,0.41,1,189974100,130397800,320372000
2016,Alabama,0.65,0.35,1,3139600,1694500,4834100
2016,Alaska,0.55,0.45,1,391200,319700,710800
2016,Arizona,0.64,0.36,1,4377100,2513100,6890200
2016,Arkansas,0.69,0.31,1,2028100,917200,2945300
2016,California,0.59,0.41,1,23297700,15890600,39188300
2016,Colorado,0.52,0.48,1,2873500,2635700,5509200
2016,Connecticut,0.49,0.51,1,1757600,1812800,3570300
2016,Delaware,0.59,0.41,1,561200,387000,948200
2016,District of Columbia,0.52,0.48,1,356100,329700,685800
2016,Florida,0.64,0.36,1,13162700,7382600,20545300
2016,Georgia,0.63,0.37,1,6510600,3770200,10280800
2016,Hawaii,0.53,0.47,1,744800,647700,1392400
2016,Idaho,0.66,0.34,1,1109400,569600,1679000
2016,Illinois,0.54,0.46,1,6865000,5742400,12607400
2016,Indiana,0.62,0.38,1,4003000,2500200,6503200
2016,Iowa,0.58,0.42,1,1794100,1312100,3106200
2016,Kansas,0.62,0.38,1,1772900,1092100,2865000
2016,Kentucky,0.67,0.33,1,2944000,1444200,4388200
2016,Louisiana,0.68,0.32,1,3107500,1471000,4578500
2016,Maine,0.61,0.39,1,804600,517100,1321600
2016,Maryland,0.49,0.51,1,2878700,3054100,5932800
2016,Massachusetts,0.47,0.53,1,3160100,3619400,6779600
2016,Michigan,0.59,0.41,1,5792400,4100800,9893200
2016,Minnesota,0.51,0.49,1,2754200,2682400,5436600
2016,Mississippi,0.71,0.29,1,2083900,864200,2948100
2016,Missouri,0.62,0.38,1,3656500,2232200,5888700
2016,Montana,0.61,0.39,1,634700,400800,1035500
2016,Nebraska,0.59,0.41,1,1110600,765500,1876100
2016,Nevada,0.66,0.34,1,1944800,998400,2943200
2016,New Hampshire,0.46,0.54,1,611700,706400,1318100
2016,New Jersey,0.49,0.51,1,4352400,4499200,8851500
2016,New Mexico,0.69,0.31,1,1415300,629600,2045000
2016,New York,0.57,0.43,1,11025700,8456700,19482300
2016,North Carolina,0.64,0.36,1,6393900,3674400,10068300
2016,North Dakota,0.59,0.41,1,443000,306500,749500
2016,Ohio,0.60,0.40,1,6826600,4642200,11468700
2016,Oklahoma,0.66,0.34,1,2597300,1323800,3921100
2016,Oregon,0.60,0.40,1,2491100,1639100,4130200
2016,Pennsylvania,0.57,0.43,1,7105400,5452500,12557900
2016,Rhode Island,0.55,0.45,1,575300,478900,1054300
2016,South Carolina,0.63,0.37,1,3076700,1831700,4908400
2016,South Dakota,0.61,0.39,1,521000,334300,855400
2016,Tennessee,0.64,0.36,1,4242500,2431600,6674100
2016,Texas,0.62,0.38,1,17047800,10629400,27677200
2016,Utah,0.61,0.39,1,1882600,1197100,3079700
2016,Vermont,0.56,0.44,1,350000,272500,622500
2016,Virginia,0.54,0.46,1,4437200,3737900,8175000
2016,Washington,0.56,0.44,1,4069300,3228100,7297300
2016,West Virginia,0.70,0.30,1,1265100,549000,1814100
2016,Wisconsin,0.57,0.43,1,3282600,2483500,5766100
2016,Wyoming,0.60,0.40,1,345200,226500,571700
