Year,Location,Governor Political Affiliation,State Senate Majority Political Affiliation,State House Majority Political Affiliation,State Attorney General Political Affiliation,State Insurance Commissioner Political Affiliation
2018,United States,33 Republicans; 17 Democrats; 1 Independent,15 Democrat; 34 Republican; 1 Split; 1 N\/A,16 Democrat; 33 Republican; 2 N\/A,7 Appointed; 20 Democrat; 24 Republican,40 Appointed; 3 Democrat; 8 Republican
2018,Alabama,Republican,Republican,Republican,Republican,Appointed
2018,Alaska,Independent,Republican,Republican,Appointed,Appointed
2018,Arizona,Republican,Republican,Republican,Republican,Appointed
2018,Arkansas,Republican,Republican,Republican,Republican,Appointed
2018,California,Democrat,Democrat,Democrat,Democrat,Democrat
2018,Colorado,Democrat,Republican,Democrat,Republican,Appointed
2018,Connecticut,Democrat,Split,Democrat,Democrat,Appointed
2018,Delaware,Democrat,Democrat,Democrat,Democrat,Democrat
2018,District of Columbia,Democrat,Democrat,N\/A,Democrat,Appointed
2018,Florida,Republican,Republican,Republican,Republican,Appointed
2018,Georgia,Republican,Republican,Republican,Republican,Republican
2018,Hawaii,Democrat,Democrat,Democrat,Appointed,Appointed
2018,Idaho,Republican,Republican,Republican,Republican,Appointed
2018,Illinois,Republican,Democrat,Democrat,Democrat,Appointed
2018,Indiana,Republican,Republican,Republican,Republican,Appointed
2018,Iowa,Republican,Republican,Republican,Democrat,Appointed
2018,Kansas,Republican,Republican,Republican,Republican,Republican
2018,Kentucky,Republican,Republican,Republican,Democrat,Appointed
2018,Louisiana,Democrat,Republican,Republican,Republican,Republican
2018,Maine,Republican,Republican,Democrat,Appointed,Appointed
2018,Maryland,Republican,Democrat,Democrat,Democrat,Appointed
2018,Massachusetts,Republican,Democrat,Democrat,Democrat,Appointed
2018,Michigan,Republican,Republican,Republican,Republican,Appointed
2018,Minnesota,Democrat,Republican,Republican,Democrat,Appointed
2018,Mississippi,Republican,Republican,Republican,Democrat,Republican
2018,Missouri,Republican,Republican,Republican,Republican,Appointed
2018,Montana,Democrat,Republican,Republican,Republican,Republican
2018,Nebraska,Republican,N\/A,N\/A,Republican,Appointed
2018,Nevada,Republican,Democrat,Republican,Republican,Appointed
2018,New Hampshire,Republican,Republican,Republican,Appointed,Appointed
2018,New Jersey,Democrat,Democrat,Democrat,Appointed,Appointed
2018,New Mexico,Republican,Democrat,Democrat,Democrat,Appointed
2018,New York,Democrat,Democrat,Democrat,Democrat,Appointed
2018,North Carolina,Democrat,Republican,Republican,Democrat,Republican
2018,North Dakota,Republican,Republican,Republican,Republican,Republican
2018,Ohio,Republican,Republican,Republican,Republican,Appointed
2018,Oklahoma,Republican,Republican,Republican,Republican,Republican
2018,Oregon,Democrat,Democrat,Democrat,Democrat,Appointed
2018,Pennsylvania,Democrat,Republican,Republican,Democrat,Appointed
2018,Rhode Island,Democrat,Democrat,Democrat,Democrat,Appointed
2018,South Carolina,Republican,Republican,Republican,Republican,Appointed
2018,South Dakota,Republican,Republican,Republican,Republican,Appointed
2018,Tennessee,Republican,Republican,Republican,Appointed,Appointed
2018,Texas,Republican,Republican,Republican,Republican,Appointed
2018,Utah,Republican,Republican,Republican,Republican,Appointed
2018,Vermont,Republican,Democrat,Democrat,Democrat,Appointed
2018,Virginia,Democrat,Republican,Republican,Democrat,Appointed
2018,Washington,Democrat,Democrat,Democrat,Democrat,Democrat
2018,West Virginia,Republican,Republican,Republican,Republican,Appointed
2018,Wisconsin,Republican,Republican,Republican,Republican,Appointed
2018,Wyoming,Republican,Republican,Republican,Appointed,Appointed
